Date,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
12/31/2021,0.044,0.18,0.381,0.732,0.968,1.154,1.265,1.368,1.441,1.473,1.497,1.527,1.828,1.975,1.918
11/30/2021,0.049,0.098,0.26,0.549,0.842,1.039,1.158,1.285,1.377,1.406,1.429,1.45,1.746,1.893,1.801
10/29/2021,0.052,0.059,0.164,0.488,0.767,1.035,1.196,1.357,1.472,1.515,1.549,1.589,1.878,2.016,1.952
9/30/2021,0.035,0.048,0.098,0.285,0.536,0.818,0.988,1.184,1.325,1.413,1.481,1.544,1.899,2.074,2.133
8/31/2021,0.039,0.05,0.082,0.206,0.416,0.642,0.778,0.961,1.092,1.189,1.264,1.327,1.712,1.903,1.982
7/30/2021,0.045,0.049,0.076,0.187,0.356,0.57,0.698,0.881,1.012,1.115,1.195,1.273,1.682,1.882,1.967
6/30/2021,0.043,0.051,0.082,0.245,0.469,0.728,0.885,1.089,1.236,1.34,1.421,1.493,1.886,2.079,2.139
5/31/2021,0.013,0.029,0.044,0.139,0.311,0.613,0.793,1.066,1.262,1.409,1.523,1.618,2.056,2.274,2.343
4/30/2021,0.009,0.025,0.055,0.161,0.35,0.663,0.85,1.126,1.324,1.464,1.573,1.668,2.057,2.249,2.366
3/31/2021,0.017,0.033,0.062,0.157,0.361,0.719,0.935,1.22,1.425,1.567,1.677,1.77,2.18,2.382,2.476
2/26/2021,0.037,0.048,0.076,0.125,0.277,0.548,0.709,0.947,1.118,1.237,1.33,1.407,1.853,2.076,2.185
1/29/2021,0.052,0.068,0.081,0.113,0.186,0.34,0.432,0.63,0.774,0.913,1.021,1.116,1.512,1.71,1.919
12/31/2020,0.072,0.083,0.107,0.123,0.174,0.291,0.362,0.53,0.65,0.77,0.861,0.94,1.307,1.491,1.721
11/30/2020,0.075,0.091,0.111,0.148,0.196,0.303,0.367,0.518,0.626,0.724,0.801,0.865,1.231,1.415,1.652
10/30/2020,0.089,0.099,0.125,0.153,0.201,0.315,0.383,0.535,0.645,0.748,0.829,0.905,1.284,1.476,1.737
9/30/2020,0.095,0.103,0.119,0.128,0.16,0.232,0.276,0.391,0.473,0.567,0.64,0.705,1.081,1.271,1.531
8/31/2020,0.103,0.11,0.12,0.135,0.155,0.229,0.274,0.404,0.497,0.59,0.663,0.724,1.102,1.291,1.551
7/31/2020,0.091,0.097,0.11,0.11,0.124,0.181,0.215,0.32,0.396,0.46,0.511,0.562,0.86,1.011,1.254
6/30/2020,0.135,0.153,0.154,0.153,0.178,0.246,0.287,0.408,0.494,0.566,0.623,0.676,1.035,1.216,1.473
5/29/2020,0.14,0.157,0.165,0.16,0.193,0.26,0.3,0.416,0.499,0.565,0.616,0.66,1.032,1.218,1.479
4/30/2020,0.096,0.111,0.165,0.192,0.245,0.314,0.356,0.46,0.535,0.586,0.626,0.673,1.016,1.187,1.358
3/31/2020,0.101,0.142,0.162,0.237,0.286,0.339,0.371,0.472,0.544,0.607,0.656,0.704,1.057,1.234,1.411
2/28/2020,1.264,1.101,0.966,0.888,0.874,0.899,0.913,0.992,1.048,1.087,1.117,1.143,1.428,1.571,1.713
1/31/2020,1.541,1.519,1.427,1.317,1.296,1.307,1.314,1.377,1.421,1.46,1.49,1.526,1.789,1.921,2.052
12/31/2019,1.538,1.573,1.563,1.56,1.605,1.655,1.685,1.77,1.831,1.868,1.898,1.929,2.187,2.317,2.446
11/29/2019,1.576,1.603,1.587,1.603,1.601,1.612,1.619,1.68,1.724,1.745,1.761,1.777,2.015,2.135,2.254
10/31/2019,1.53,1.538,1.501,1.516,1.508,1.509,1.51,1.563,1.601,1.64,1.67,1.707,1.972,2.104,2.237
9/30/2019,1.811,1.8,1.731,1.616,1.552,1.543,1.539,1.584,1.616,1.639,1.656,1.678,1.92,2.041,2.162
8/30/2019,1.968,1.864,1.733,1.498,1.42,1.396,1.381,1.419,1.446,1.467,1.483,1.499,1.757,1.887,2.016
7/31/2019,2.056,2.06,1.969,1.864,1.818,1.818,1.818,1.87,1.907,1.956,1.993,2.036,2.321,2.463,2.605
6/28/2019,2.08,2.074,1.905,1.743,1.702,1.737,1.758,1.824,1.871,1.931,1.977,2.022,2.316,2.463,2.61
5/31/2019,2.335,2.326,2.179,1.916,1.872,1.895,1.909,1.975,2.022,2.07,2.108,2.14,2.386,2.509,2.632
4/30/2019,2.405,2.425,2.353,2.249,2.226,2.249,2.263,2.331,2.38,2.434,2.476,2.518,2.756,2.875,2.994
3/29/2019,2.383,2.405,2.374,2.25,2.192,2.206,2.215,2.264,2.299,2.341,2.374,2.406,2.636,2.751,2.866
2/28/2019,2.429,2.488,2.519,2.501,2.477,2.49,2.497,2.563,2.61,2.653,2.687,2.716,2.924,3.028,3.133
1/31/2019,2.384,2.44,2.529,2.439,2.418,2.419,2.419,2.469,2.505,2.558,2.6,2.64,2.847,2.95,3.054
12/31/2018,2.366,2.472,2.567,2.471,2.442,2.475,2.495,2.541,2.574,2.62,2.655,2.688,2.875,2.968,3.062
11/30/2018,2.342,2.508,2.677,2.781,2.802,2.81,2.816,2.865,2.9,2.94,2.971,2.997,3.169,3.255,3.341
10/31/2018,2.319,2.472,2.665,2.854,2.912,2.943,2.963,3.016,3.053,3.09,3.118,3.145,3.278,3.344,3.41
9/28/2018,2.194,2.349,2.57,2.793,2.861,2.901,2.925,2.968,2.998,3.015,3.028,3.04,3.121,3.161,3.201
8/31/2018,2.088,2.248,2.449,2.607,2.679,2.708,2.726,2.772,2.804,2.824,2.84,2.854,2.943,2.988,3.033
7/31/2018,2.004,2.168,2.416,2.65,2.752,2.801,2.831,2.877,2.91,2.926,2.939,2.951,3.016,3.048,3.081
6/29/2018,1.924,2.101,2.31,2.508,2.606,2.676,2.718,2.769,2.804,2.822,2.835,2.848,2.92,2.957,2.993
5/31/2018,1.902,2.067,2.219,2.408,2.538,2.623,2.675,2.742,2.79,2.813,2.832,2.847,2.939,2.985,3.031
4/30/2018,1.817,2.009,2.229,2.474,2.619,2.725,2.788,2.857,2.906,2.924,2.937,2.952,3.043,3.089,3.135
3/30/2018,1.717,1.911,2.079,2.252,2.377,2.487,2.553,2.627,2.68,2.704,2.722,2.74,2.87,2.934,2.999
2/28/2018,1.651,1.843,2.048,2.239,2.403,2.548,2.634,2.728,2.794,2.823,2.845,2.864,3.01,3.083,3.156
1/31/2018,1.454,1.643,1.877,2.133,2.282,2.424,2.509,2.589,2.647,2.671,2.69,2.71,2.834,2.896,2.958
12/29/2017,1.373,1.524,1.744,1.874,1.968,2.114,2.201,2.277,2.331,2.363,2.388,2.412,2.597,2.689,2.781
11/30/2017,1.256,1.433,1.625,1.778,1.893,2.044,2.135,2.237,2.31,2.354,2.389,2.418,2.652,2.769,2.885
10/31/2017,1.129,1.271,1.438,1.596,1.732,1.91,2.017,2.146,2.239,2.306,2.359,2.411,2.683,2.819,2.955
9/29/2017,1.048,1.186,1.305,1.479,1.627,1.82,1.936,2.076,2.177,2.251,2.308,2.36,2.65,2.796,2.941
8/31/2017,0.992,1.072,1.226,1.325,1.435,1.602,1.702,1.847,1.951,2.029,2.089,2.14,2.481,2.651,2.821
7/31/2017,1.079,1.135,1.219,1.348,1.517,1.719,1.839,2.006,2.126,2.209,2.275,2.339,2.672,2.838,3.005
6/30/2017,1.017,1.132,1.232,1.378,1.553,1.763,1.889,2.041,2.149,2.224,2.281,2.334,2.629,2.776,2.923
5/31/2017,0.971,1.064,1.154,1.28,1.442,1.637,1.754,1.914,2.028,2.112,2.176,2.23,2.604,2.791,2.978
4/28/2017,0.793,0.967,1.061,1.259,1.451,1.679,1.817,1.985,2.105,2.191,2.257,2.323,2.696,2.883,3.069
3/31/2017,0.756,0.899,1.019,1.253,1.502,1.767,1.926,2.1,2.225,2.303,2.364,2.421,2.77,2.945,3.119
2/28/2017,0.604,0.736,0.881,1.259,1.533,1.784,1.935,2.111,2.238,2.311,2.368,2.415,2.759,2.931,3.102
1/31/2017,0.514,0.628,0.821,1.204,1.479,1.755,1.92,2.124,2.269,2.36,2.43,2.497,2.832,3,3.168
12/30/2016,0.496,0.61,0.857,1.185,1.465,1.758,1.933,2.126,2.265,2.35,2.416,2.476,2.825,2.999,3.173
11/30/2016,0.477,0.605,0.811,1.113,1.409,1.683,1.849,2.06,2.211,2.292,2.355,2.407,2.778,2.964,3.149
10/31/2016,0.321,0.5,0.662,0.841,1.001,1.195,1.31,1.496,1.629,1.723,1.795,1.869,2.276,2.48,2.684
9/30/2016,0.29,0.432,0.6,0.761,0.883,1.05,1.15,1.314,1.431,1.507,1.566,1.623,2.017,2.214,2.41
8/31/2016,0.331,0.457,0.607,0.806,0.934,1.1,1.2,1.354,1.464,1.518,1.56,1.596,1.956,2.135,2.315
7/29/2016,0.26,0.372,0.498,0.66,0.758,0.895,1.033,1.17,1.308,1.369,1.431,1.489,1.685,1.894,2.352
6/30/2016,0.264,0.356,0.441,0.587,0.705,0.857,1.01,1.155,1.301,1.37,1.439,1.506,1.726,1.96,2.486
5/31/2016,0.299,0.458,0.681,0.884,1.047,1.217,1.388,1.54,1.694,1.758,1.824,1.888,2.108,2.344,2.89
4/29/2016,0.216,0.388,0.556,0.788,0.949,1.128,1.309,1.477,1.647,1.729,1.811,1.887,2.118,2.367,2.935
3/31/2016,0.204,0.382,0.586,0.727,0.867,1.042,1.219,1.39,1.563,1.649,1.735,1.818,2.047,2.295,2.863
2/29/2016,0.328,0.478,0.614,0.78,0.905,1.064,1.226,1.384,1.544,1.621,1.699,1.776,2.017,2.277,2.878
1/29/2016,0.317,0.433,0.473,0.778,0.981,1.161,1.343,1.521,1.7,1.797,1.894,1.981,2.205,2.449,3.005
12/31/2015,0.169,0.479,0.629,1.057,1.33,1.557,1.787,1.962,2.139,2.203,2.269,2.332,2.537,2.762,3.286
11/30/2015,0.193,0.395,0.508,0.95,1.258,1.471,1.687,1.868,2.051,2.128,2.207,2.285,2.494,2.723,3.263
10/30/2015,0.078,0.23,0.345,0.754,1.043,1.291,1.541,1.734,1.929,2.027,2.126,2.214,2.426,2.659,3.195
9/30/2015,0,0.081,0.328,0.643,0.929,1.158,1.388,1.587,1.789,1.899,2.011,2.115,2.336,2.577,3.139
8/31/2015,0.033,0.238,0.394,0.734,1.061,1.307,1.555,1.764,1.976,2.075,2.176,2.275,2.477,2.7,3.225
7/31/2015,0.067,0.149,0.325,0.667,0.994,1.272,1.554,1.757,1.962,2.063,2.165,2.255,2.451,2.666,3.162
6/30/2015,0.015,0.115,0.276,0.649,1.03,1.348,1.67,1.899,2.131,2.232,2.335,2.432,2.64,2.872,3.42
5/29/2015,0.006,0.067,0.252,0.609,0.945,1.225,1.509,1.709,1.912,2.003,2.095,2.187,2.392,2.619,3.149
4/30/2015,0.005,0.051,0.23,0.582,0.931,1.197,1.467,1.659,1.854,1.943,2.034,2.114,2.303,2.51,2.98
3/31/2015,0.03,0.141,0.253,0.568,0.907,1.153,1.403,1.577,1.753,1.831,1.911,1.985,2.147,2.323,2.721
2/27/2015,0.016,0.072,0.219,0.623,1.016,1.268,1.523,1.69,1.858,1.92,1.982,2.044,2.204,2.377,2.775
1/30/2015,0.006,0.052,0.161,0.453,0.751,0.96,1.17,1.329,1.489,1.556,1.624,1.685,1.839,2.004,2.367
12/31/2014,0.046,0.121,0.243,0.671,1.095,1.387,1.684,1.85,2.02,2.092,2.165,2.234,2.388,2.558,2.946
11/28/2014,0.016,0.071,0.137,0.472,0.868,1.185,1.506,1.717,1.929,2.031,2.134,2.236,2.43,2.645,3.149
10/31/2014,0.011,0.051,0.113,0.497,0.946,1.292,1.642,1.868,2.098,2.211,2.325,2.425,2.621,2.839,3.348
9/30/2014,0.025,0.04,0.118,0.577,1.07,1.436,1.807,2.04,2.278,2.383,2.489,2.589,2.778,2.992,3.498
8/29/2014,0.025,0.051,0.101,0.491,0.953,1.302,1.657,1.876,2.099,2.208,2.318,2.427,2.624,2.844,3.369
7/31/2014,0.025,0.051,0.126,0.537,1.027,1.407,1.793,2.047,2.305,2.43,2.557,2.667,2.872,3.104,3.656
6/30/2014,0.027,0.067,0.112,0.462,0.892,1.276,1.665,1.932,2.204,2.351,2.502,2.642,2.864,3.117,3.728
5/30/2014,0.036,0.051,0.098,0.377,0.797,1.181,1.571,1.845,2.124,2.276,2.43,2.584,2.812,3.071,3.705
4/30/2014,0.03,0.046,0.107,0.415,0.877,1.292,1.714,2.008,2.308,2.469,2.632,2.773,2.989,3.238,3.837
3/31/2014,0.037,0.062,0.137,0.423,0.896,1.324,1.758,2.067,2.382,2.539,2.699,2.848,3.072,3.331,3.967
2/28/2014,0.051,0.076,0.119,0.321,0.689,1.108,1.534,1.862,2.197,2.39,2.587,2.783,3.033,3.323,4.05
1/31/2014,0.026,0.056,0.106,0.333,0.689,1.102,1.522,1.857,2.199,2.403,2.611,2.788,3.044,3.34,4.068
12/31/2013,0.071,0.091,0.131,0.385,0.794,1.285,1.786,2.165,2.552,2.774,3,3.209,3.458,3.755,4.517
11/29/2013,0.062,0.107,0.129,0.286,0.566,0.978,1.397,1.781,2.173,2.414,2.661,2.906,3.194,3.53,4.401
10/31/2013,0.041,0.081,0.105,0.31,0.593,0.973,1.359,1.696,2.039,2.269,2.503,2.704,2.998,3.337,4.18
9/30/2013,0.011,0.032,0.099,0.322,0.637,1.023,1.414,1.744,2.079,2.308,2.542,2.757,3.049,3.386,4.237
8/30/2013,0.025,0.056,0.129,0.403,0.806,1.239,1.679,2.003,2.333,2.53,2.731,2.93,3.174,3.459,4.179
7/31/2013,0.041,0.071,0.116,0.314,0.616,1.011,1.411,1.741,2.077,2.304,2.535,2.733,3.022,3.355,4.183
6/28/2013,0.036,0.097,0.148,0.359,0.666,1.04,1.42,1.709,2.003,2.209,2.418,2.612,2.888,3.202,3.98
5/31/2013,0.031,0.066,0.133,0.298,0.501,0.766,1.033,1.298,1.567,1.786,2.009,2.229,2.545,2.898,3.777
4/30/2013,0.051,0.081,0.114,0.212,0.319,0.5,0.682,0.905,1.13,1.343,1.56,1.748,2.078,2.438,3.294
3/29/2013,0.076,0.107,0.134,0.246,0.36,0.565,0.772,1.014,1.258,1.486,1.719,1.937,2.282,2.664,3.598
2/28/2013,0.112,0.132,0.162,0.243,0.354,0.561,0.769,1.016,1.267,1.492,1.721,1.948,2.279,2.645,3.545
1/31/2013,0.076,0.112,0.145,0.27,0.422,0.658,0.896,1.161,1.43,1.661,1.896,2.098,2.423,2.785,3.661
12/31/2012,0.049,0.117,0.148,0.251,0.363,0.546,0.731,0.967,1.205,1.419,1.636,1.838,2.164,2.523,3.386
11/30/2012,0.082,0.132,0.176,0.25,0.331,0.477,0.623,0.841,1.061,1.266,1.474,1.68,2.006,2.362,3.219
10/31/2012,0.117,0.162,0.177,0.286,0.395,0.567,0.74,0.96,1.182,1.391,1.603,1.786,2.105,2.454,3.28
9/28/2012,0.097,0.132,0.159,0.234,0.315,0.472,0.63,0.849,1.07,1.285,1.503,1.706,2.031,2.386,3.233
8/31/2012,0.077,0.132,0.164,0.225,0.3,0.447,0.596,0.806,1.018,1.214,1.413,1.609,1.914,2.245,3.033
7/31/2012,0.106,0.142,0.163,0.212,0.289,0.441,0.593,0.795,0.999,1.187,1.377,1.542,1.834,2.15,2.879
6/29/2012,0.087,0.158,0.209,0.305,0.404,0.564,0.725,0.925,1.126,1.325,1.527,1.714,2.015,2.344,3.121
5/31/2012,0.071,0.127,0.183,0.274,0.362,0.518,0.675,0.855,1.038,1.233,1.432,1.628,1.921,2.241,2.996
4/30/2012,0.099,0.148,0.188,0.262,0.388,0.603,0.819,1.086,1.356,1.583,1.814,2.015,2.344,2.71,3.592
3/30/2012,0.072,0.137,0.182,0.333,0.516,0.783,1.053,1.35,1.653,1.879,2.109,2.323,2.631,2.978,3.835
2/29/2012,0.081,0.132,0.17,0.302,0.43,0.658,0.888,1.162,1.44,1.651,1.867,2.08,2.383,2.72,3.545
1/31/2012,0.056,0.081,0.122,0.219,0.307,0.513,0.72,0.997,1.279,1.494,1.712,1.901,2.211,2.554,3.366
12/30/2011,0.016,0.061,0.113,0.243,0.367,0.603,0.841,1.108,1.378,1.575,1.776,1.961,2.236,2.54,3.261
11/30/2011,0.005,0.056,0.117,0.254,0.403,0.679,0.957,1.252,1.552,1.75,1.951,2.15,2.416,2.714,3.434
10/31/2011,0.056,0.057,0.116,0.25,0.413,0.706,1.003,1.314,1.63,1.847,2.069,2.258,2.531,2.838,3.572
9/30/2011,0.026,0.056,0.11,0.247,0.417,0.69,0.965,1.216,1.47,1.649,1.83,1.999,2.269,2.567,3.275
8/31/2011,0.015,0.046,0.104,0.2,0.334,0.652,0.974,1.289,1.609,1.85,2.096,2.339,2.724,3.159,4.291
7/29/2011,0.097,0.158,0.205,0.359,0.557,0.965,1.379,1.771,2.172,2.45,2.734,2.98,3.349,3.782,4.929
6/30/2011,0.021,0.102,0.189,0.459,0.823,1.309,1.803,2.197,2.601,2.856,3.117,3.36,3.696,4.098,5.186
5/31/2011,0.035,0.114,0.19,0.481,0.818,1.278,1.746,2.115,2.492,2.743,3.001,3.257,3.576,3.956,4.981
4/29/2011,0.046,0.106,0.218,0.61,1.024,1.516,2.017,2.396,2.784,3.029,3.28,3.498,3.803,4.169,5.143
3/31/2011,0.097,0.178,0.313,0.849,1.355,1.844,2.343,2.696,3.058,3.267,3.482,3.683,3.966,4.309,5.233
2/28/2011,0.146,0.173,0.269,0.69,1.198,1.692,2.196,2.573,2.959,3.181,3.408,3.637,3.93,4.286,5.261
1/31/2011,0.158,0.17,0.26,0.571,1.002,1.498,2.003,2.414,2.836,3.104,3.379,3.616,3.946,4.347,5.441
12/31/2010,0.131,0.192,0.286,0.603,1.022,1.537,2.061,2.433,2.815,3.045,3.28,3.498,3.78,4.12,5.024
11/30/2010,0.171,0.206,0.27,0.469,0.733,1.117,1.507,1.869,2.239,2.479,2.725,2.969,3.338,3.767,4.926
10/29/2010,0.121,0.172,0.215,0.343,0.514,0.848,1.186,1.565,1.954,2.234,2.52,2.768,3.155,3.604,4.784
9/30/2010,0.165,0.198,0.261,0.431,0.659,0.977,1.299,1.632,1.971,2.199,2.433,2.65,2.974,3.345,4.287
8/31/2010,0.147,0.195,0.242,0.478,0.719,1.035,1.356,1.664,1.978,2.18,2.387,2.591,2.876,3.201,4.017
7/30/2010,0.151,0.202,0.284,0.555,0.849,1.236,1.63,2.005,2.388,2.627,2.872,3.081,3.377,3.723,4.611
6/30/2010,0.181,0.227,0.315,0.611,0.993,1.4,1.814,2.154,2.502,2.7,2.903,3.09,3.348,3.651,4.42
5/31/2010,0.165,0.229,0.355,0.777,1.271,1.704,2.145,2.498,2.86,3.06,3.265,3.469,3.715,4.01,4.788
4/30/2010,0.165,0.243,0.42,0.973,1.525,2,2.485,2.86,3.246,3.463,3.687,3.878,4.104,4.385,5.126
3/31/2010,0.16,0.241,0.425,1.029,1.617,2.112,2.619,3.017,3.426,3.64,3.862,4.067,4.299,4.591,5.388
2/26/2010,0.126,0.189,0.325,0.82,1.366,1.86,2.365,2.772,3.189,3.401,3.617,3.835,4.085,4.395,5.243
1/29/2010,0.08,0.153,0.307,0.822,1.387,1.882,2.387,2.785,3.194,3.406,3.622,3.808,4.046,4.341,5.118
12/31/2009,0.058,0.197,0.474,1.152,1.725,2.237,2.761,3.145,3.54,3.714,3.894,4.061,4.269,4.532,5.236
11/30/2009,0.062,0.16,0.266,0.674,1.134,1.588,2.051,2.419,2.796,2.987,3.182,3.376,3.646,3.967,4.816
10/30/2009,0.056,0.167,0.37,0.901,1.431,1.896,2.371,2.728,3.094,3.257,3.423,3.566,3.791,4.061,4.751
9/30/2009,0.118,0.178,0.402,0.959,1.463,1.914,2.374,2.71,3.054,3.193,3.337,3.469,3.664,3.899,4.492
8/31/2009,0.14,0.238,0.433,0.983,1.51,1.976,2.451,2.801,3.159,3.292,3.43,3.566,3.772,4.021,4.665
7/31/2009,0.187,0.261,0.482,1.128,1.631,2.104,2.585,2.925,3.273,3.404,3.538,3.656,3.876,4.141,4.817
6/30/2009,0.198,0.348,0.536,1.125,1.663,2.141,2.628,2.98,3.342,3.464,3.59,3.709,3.922,4.179,4.846
5/29/2009,0.142,0.29,0.481,0.925,1.44,1.916,2.402,2.79,3.187,3.337,3.49,3.643,3.878,4.162,4.914
4/30/2009,0.135,0.283,0.492,0.912,1.391,1.72,2.054,2.419,2.794,2.961,3.132,3.281,3.529,3.821,4.558
3/31/2009,0.211,0.421,0.566,0.807,1.147,1.414,1.685,1.998,2.317,2.474,2.635,2.784,3.019,3.288,3.948
2/27/2009,0.259,0.447,0.704,0.982,1.398,1.709,2.024,2.398,2.781,2.901,3.024,3.147,3.328,3.542,4.074
1/30/2009,0.238,0.352,0.504,0.959,1.361,1.637,1.917,2.13,2.345,2.565,2.79,2.98,3.186,3.427,3.971
12/31/2008,0.086,0.268,0.367,0.776,0.993,1.283,1.577,1.719,1.862,2.008,2.157,2.291,2.41,2.545,2.834
11/28/2008,0.056,0.431,0.911,0.992,1.285,1.615,1.951,2.166,2.385,2.608,2.837,3.063,3.188,3.342,3.696
10/31/2008,0.454,0.941,1.328,1.565,1.995,2.432,2.878,3.137,3.404,3.677,3.96,4.191,4.267,4.384,4.688
9/30/2008,0.915,1.604,1.802,1.981,2.331,2.686,3.048,3.234,3.425,3.621,3.822,4.004,4.12,4.271,4.646
8/29/2008,1.721,1.957,2.176,2.392,2.642,2.895,3.153,3.31,3.469,3.633,3.8,3.966,4.13,4.33,4.83
7/31/2008,1.67,1.874,2.272,2.537,2.787,3.041,3.3,3.46,3.625,3.793,3.966,4.112,4.282,4.49,5.002
6/30/2008,1.761,2.166,2.361,2.647,2.892,3.14,3.393,3.535,3.681,3.83,3.983,4.123,4.272,4.454,4.905
5/30/2008,1.891,2.018,2.235,2.673,2.943,3.218,3.497,3.636,3.777,3.922,4.071,4.218,4.401,4.622,5.186
4/30/2008,1.387,1.624,1.843,2.281,2.54,2.803,3.07,3.231,3.396,3.565,3.737,3.886,4.089,4.333,4.953
3/31/2008,1.334,1.492,1.527,1.598,1.889,2.184,2.483,2.698,2.916,3.139,3.368,3.58,3.82,4.107,4.851
2/29/2008,1.848,1.825,1.76,1.629,1.923,2.221,2.522,2.746,2.975,3.209,3.449,3.688,3.931,4.223,5
1/31/2008,1.952,2.064,2.08,2.112,2.341,2.573,2.808,2.996,3.187,3.383,3.583,3.753,3.957,4.2,4.771
12/31/2007,3.254,3.397,3.29,3.074,3.211,3.349,3.489,3.62,3.754,3.891,4.031,4.159,4.273,4.414,4.744
11/30/2007,3.158,3.357,3.246,3.021,3.158,3.297,3.437,3.558,3.682,3.807,3.936,4.063,4.183,4.328,4.67
10/31/2007,3.922,4.076,4.048,3.991,4.011,4.12,4.23,4.3,4.371,4.444,4.518,4.581,4.655,4.747,4.965
9/28/2007,3.81,4.085,4.067,4.031,4.103,4.208,4.314,4.391,4.469,4.549,4.631,4.705,4.77,4.851,5.052
8/31/2007,4.118,4.212,4.202,4.183,4.208,4.253,4.299,4.364,4.43,4.497,4.565,4.632,4.715,4.815,5.058
7/31/2007,4.951,4.98,4.845,4.57,4.56,4.589,4.618,4.66,4.703,4.747,4.792,4.829,4.875,4.93,5.06
6/29/2007,4.814,4.945,4.939,4.925,4.95,4.97,4.989,5.013,5.038,5.063,5.088,5.112,5.139,5.173,5.254
5/31/2007,4.742,4.958,4.964,4.977,4.929,4.921,4.913,4.922,4.93,4.939,4.948,4.957,4.996,5.04,5.143
4/30/2007,4.857,4.995,4.879,4.646,4.573,4.567,4.559,4.587,4.615,4.643,4.671,4.696,4.754,4.821,4.978
3/30/2007,5.038,5.072,4.925,4.628,4.581,4.586,4.59,4.615,4.641,4.667,4.693,4.718,4.779,4.848,5.016
2/28/2007,5.134,5.119,4.979,4.697,4.609,4.587,4.565,4.577,4.589,4.601,4.613,4.625,4.661,4.701,4.796
1/31/2007,5.114,5.147,5.093,4.982,4.901,4.878,4.854,4.857,4.86,4.863,4.865,4.869,4.904,4.941,5.018
12/29/2006,5.018,5.09,5.018,4.871,4.782,4.763,4.744,4.747,4.751,4.754,4.757,4.76,4.798,4.838,4.922
11/30/2006,5.03,5.093,4.95,4.662,4.549,4.518,4.486,4.491,4.496,4.5,4.504,4.509,4.545,4.583,4.663
10/31/2006,5.06,5.108,4.989,4.749,4.658,4.634,4.608,4.618,4.628,4.638,4.648,4.658,4.696,4.739,4.83
9/29/2006,4.884,5.005,4.918,4.742,4.664,4.646,4.627,4.64,4.652,4.665,4.678,4.69,4.734,4.782,4.889
8/31/2006,5.04,5.115,5.022,4.836,4.756,4.749,4.742,4.751,4.761,4.77,4.78,4.789,4.839,4.895,5.018
7/31/2006,5.082,5.153,5.108,5.017,4.975,4.966,4.956,4.977,4.998,5.019,5.04,5.058,5.083,5.113,5.182
6/30/2006,4.99,5.241,5.235,5.224,5.19,5.174,5.157,5.169,5.18,5.191,5.202,5.213,5.227,5.244,5.285
5/31/2006,4.843,5.072,5.084,5.106,5.099,5.099,5.099,5.12,5.14,5.161,5.183,5.204,5.236,5.274,5.367
4/28/2006,4.77,4.911,4.916,4.926,4.937,4.957,4.978,5.012,5.046,5.08,5.116,5.145,5.174,5.211,5.303
3/31/2006,4.616,4.815,4.838,4.884,4.881,4.876,4.872,4.881,4.89,4.899,4.908,4.916,4.928,4.942,4.976
2/28/2006,4.626,4.741,4.741,4.738,4.711,4.681,4.65,4.64,4.63,4.619,4.608,4.597,4.585,4.571,4.535
1/31/2006,4.47,4.582,4.581,4.575,4.533,4.517,4.502,4.518,4.534,4.549,4.565,4.581,4.647,4.721,4.794
12/30/2005,4.089,4.38,4.406,4.458,4.413,4.406,4.399,4.409,4.419,4.429,4.44,4.45,4.509,4.574,4.639
11/30/2005,3.942,4.307,4.361,4.467,4.447,4.456,4.466,4.482,4.499,4.516,4.533,4.551,4.637,4.733,4.831
10/31/2005,3.904,4.223,4.293,4.434,4.462,4.481,4.5,4.526,4.551,4.578,4.604,4.629,4.709,4.8,4.895
9/30/2005,3.553,3.927,4.025,4.222,4.224,4.232,4.241,4.272,4.303,4.335,4.367,4.398,4.493,4.601,4.716
